start,end,time,year
11365,13188,1955-03-01,1955
55950,45320,1954-03-01,1954
55950,103485,1954-03-01,1954
105988,20653,1954-03-01,1954
105988,47093,1954-03-01,1954
92413,45320,1954-03-01,1954
92413,55950,1954-03-01,1954
32497,95746,1955-03-01,1955
32497,33460,1956-03-01,1956
2763,32497,1954-03-01,1954
35179,2763,1954-03-01,1954
35179,55971,1954-03-01,1954
35179,35354,1956-03-01,1956
35179,33460,1956-03-01,1956
92701,103105,1954-03-01,1954
92701,95746,1955-03-01,1955
92701,44296,1956-03-01,1956
92701,109300,1956-03-01,1956
101084,32497,1954-03-01,1954
101084,150016,1954-03-01,1954
13104,57904,1954-03-01,1954
35197,13104,1954-03-01,1954
44459,2763,1954-03-01,1954
57904,55971,1954-03-01,1954
57904,35179,1954-03-01,1954
57904,13456,1955-03-01,1955
57904,71232,1955-03-01,1955
150016,32497,1954-03-01,1954
150016,2763,1954-03-01,1954
54922,85716,1954-03-01,1954
54922,69092,1955-03-01,1955
11835,54922,1954-03-01,1954
11835,54582,1954-03-01,1954
93380,54922,1954-03-01,1954
93380,71232,1955-03-01,1955
93380,82684,1955-03-01,1955
93380,54922,1956-03-01,1956
75545,93380,1954-03-01,1954
75545,93380,1955-03-01,1955
33278,85716,1954-03-01,1954
33278,54922,1954-03-01,1954
33278,69092,1955-03-01,1955
33278,54922,1955-03-01,1955
33278,54922,1956-03-01,1956
33278,57941,1956-03-01,1956
110821,33278,1954-03-01,1954
41989,91144,1954-03-01,1954
12717,85716,1954-03-01,1954
12717,30455,1954-03-01,1954
46695,54922,1954-03-01,1954
109300,54582,1954-03-01,1954
109300,11835,1954-03-01,1954
109300,32491,1955-03-01,1955
109300,44296,1956-03-01,1956
45312,33278,1954-03-01,1954
